,latitude,longitude,curah_hujan,Penggunaan_Lahan,Jenis_Tanah,Kategori_Curah_Hujan,Ket_Jenis_Tanah,Ket_Penggunaan_Lahan,Prediksi,prediksi_normal
0,-7.1936133,107.4802352,2122.59,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
1,-7.200885982,107.3936626,2892.42,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
2,-7.144968648,107.3722475,3113.85,0.0,0.8571428571428572,1.0,Podsolik,Perkebunan/Kebun,0.999948,1
3,-7.152107031,107.343694,3100.48,0.0,0.8571428571428572,1.0,Podsolik,Perkebunan/Kebun,0.999948,1
4,-7.167573528,107.3246583,3025.6,0.0,0.8571428571428572,1.0,Podsolik,Perkebunan/Kebun,0.999948,1
5,-7.191368138,107.2723101,2808.93,0.75,0.8571428571428572,0.6666666666666666,Podsolik,Sawah Tadah Hujan,0.9999858,1
6,-7.192557869,107.2984842,2890.08,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
7,-7.177091372,107.3163302,2980.28,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
8,-7.199696252,107.3544015,2988.34,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
9,-7.237911763,107.4867489,2092.5,0.0,0.8571428571428572,0.3333333333333333,Podsolik,Perkebunan/Kebun,0.9997712,1
10,-7.230297488,107.4467739,2369.05,0.0,0.8571428571428572,0.3333333333333333,Podsolik,Perkebunan/Kebun,0.9997712,1
11,-7.240767116,107.4315454,2465.1,0.0,0.8571428571428572,0.3333333333333333,Podsolik,Perkebunan/Kebun,0.9997712,1
12,-7.244574254,107.4515328,2321.4,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
13,-7.2112618,107.4743757,2166.66,0.0,0.8571428571428572,0.3333333333333333,Podsolik,Perkebunan/Kebun,0.9997712,1
14,-7.204599309,107.4496293,2398.93,0.0,0.8571428571428572,0.3333333333333333,Podsolik,Perkebunan/Kebun,0.9997712,1
15,-7.225538566,107.42869,2519.68,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
16,-7.239815332,107.4096543,2602.11,0.125,0.8571428571428572,0.6666666666666666,Podsolik,Hutan,0.9999262,1
17,-7.208406447,107.4087025,2746.09,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
18,-7.2112618,107.3791972,2885.59,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
19,-7.194129681,107.3715829,3007.18,0.0,0.2857142857142857,1.0,Andosol,Perkebunan/Kebun,0.99300283,0
20,-7.159865442,107.3849079,3082.61,0.0,0.2857142857142857,1.0,Andosol,Perkebunan/Kebun,0.99300283,0
21,-7.174142208,107.3325598,3043.74,0.0,0.8571428571428572,1.0,Podsolik,Perkebunan/Kebun,0.999948,1
22,-7.192226112,107.3106687,2928.41,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
23,-7.160817226,107.331608,3060.81,0.5,0.8571428571428572,1.0,Podsolik,Tegalan/Ladang,0.99998814,1
24,-7.118938713,107.3354151,2989.88,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
25,-7.133215479,107.3544508,3082.93,0.0,0.8571428571428572,1.0,Podsolik,Perkebunan/Kebun,0.999948,1
26,-7.126552988,107.3858597,3004.56,0.125,0.2857142857142857,1.0,Andosol,Hutan,0.9967923,0
27,-7.161769011,107.4505811,2448.39,0.125,0.2857142857142857,0.3333333333333333,Andosol,Hutan,0.9956988,0
28,-7.141781538,107.4467739,2491.58,0.0,0.2857142857142857,0.3333333333333333,Andosol,Perkebunan/Kebun,0.9905036,0
29,-7.147492245,107.4696167,2294.61,0.125,0.2857142857142857,0.3333333333333333,Andosol,Hutan,0.9956988,0
30,-7.185563621,107.4439186,2498.78,0.0,0.2857142857142857,0.3333333333333333,Andosol,Perkebunan/Kebun,0.9905036,0
31,-7.174142208,107.4163168,2805.46,0.125,0.2857142857142857,0.6666666666666666,Andosol,Hutan,0.9965759,0
32,-7.15510652,107.4182204,2823.57,0.125,0.2857142857142857,0.6666666666666666,Andosol,Hutan,0.9965759,0
33,-7.177949346,107.4001365,2940.31,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
34,-7.215068937,107.4382079,2482.95,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
35,-7.177331,107.488827,2073.14,0.125,0.2857142857142857,0.3333333333333333,Andosol,Hutan,0.9956988,0
36,-7.137758,107.344087,3076.89,0.0,0.8571428571428572,1.0,Podsolik,Perkebunan/Kebun,0.999948,1
37,-7.143685107,107.3363669,3066.55,0.0,0.8571428571428572,1.0,Podsolik,Perkebunan/Kebun,0.999948,1
38,-7.220301213,107.4909933,2027.5,0.0,0.8571428571428572,0.3333333333333333,Podsolik,Perkebunan/Kebun,0.9997712,1
39,-7.148917383,107.4886138,2151.68,0.0,0.2857142857142857,0.3333333333333333,Andosol,Perkebunan/Kebun,0.9905036,0
40,-7.16438388,107.479096,2176.51,0.125,0.2857142857142857,0.3333333333333333,Andosol,Hutan,0.9956988,0
41,-7.182229837,107.4677935,2254.58,0.125,0.2857142857142857,0.3333333333333333,Andosol,Hutan,0.9956988,0
42,-7.195911738,107.4630346,2273.54,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
43,-7.225060135,107.4671987,2214.18,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
44,-7.23457798,107.4725525,2183.96,0.125,0.8571428571428572,0.3333333333333333,Podsolik,Hutan,0.9998408,1
45,-7.197696334,107.4297222,2612.39,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
46,-7.179850376,107.4202043,2769.74,0.125,0.2857142857142857,0.6666666666666666,Andosol,Hutan,0.9965759,0
47,-7.169142802,107.4291273,2682.91,0.125,0.2857142857142857,0.6666666666666666,Andosol,Hutan,0.9965759,0
48,-7.151296844,107.4380503,2601.02,0.125,0.2857142857142857,0.6666666666666666,Andosol,Hutan,0.9965759,0
49,-7.095974376,107.4909933,2260.46,0.75,0.5714285714285714,0.3333333333333333,Latosol,Sawah Tadah Hujan,0.99986726,1
50,-7.112035738,107.4838549,2261.7,0.75,0.8571428571428572,0.3333333333333333,Podsolik,Sawah Tadah Hujan,0.9999708,1
51,-7.231528304,107.3567679,2819.72,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
52,-7.234102,107.378808,2763.71,0.125,0.2857142857142857,0.6666666666666666,Andosol,Hutan,0.9965759,0
53,-7.213682346,107.3597422,2911.56,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
54,-7.220225864,107.3698549,2861.81,0.0,0.2857142857142857,0.6666666666666666,Andosol,Perkebunan/Kebun,0.99246603,0
55,-7.220225864,107.3478449,2885.56,0.125,0.2857142857142857,0.6666666666666666,Andosol,Hutan,0.9965759,0
56,-7.181559623,107.3299989,3018.0,0.0,0.8571428571428572,1.0,Podsolik,Perkebunan/Kebun,0.999948,1
57,-7.195836389,107.3288092,2967.58,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
58,-7.195241523,107.3424911,2996.22,0.5,0.2857142857142857,0.6666666666666666,Andosol,Tegalan/Ladang,0.99930626,1
59,-7.185723679,107.3448706,3039.92,0.0,0.8571428571428572,1.0,Podsolik,Perkebunan/Kebun,0.999948,1
60,-7.176219,107.355799,3091.95,0.0,0.2857142857142857,1.0,Andosol,Perkebunan/Kebun,0.99300283,0
61,-7.179897999,107.36732,3077.9,0.0,0.2857142857142857,1.0,Andosol,Perkebunan/Kebun,0.99300283,0
62,-7.185723679,107.3811574,3020.51,0.0,0.2857142857142857,1.0,Andosol,Perkebunan/Kebun,0.99300283,0
63,-7.166687991,107.3817522,3086.42,0.0,0.2857142857142857,1.0,Andosol,Perkebunan/Kebun,0.99300283,0
64,-7.165498261,107.3710446,3115.88,0.125,0.2857142857142857,1.0,Andosol,Hutan,0.9967923,0
65,-7.148247168,107.3662857,3124.74,0.0,0.8571428571428572,1.0,Podsolik,Perkebunan/Kebun,0.999948,1
66,-7.153441,107.34765,3111.57,0.0,0.8571428571428572,1.0,Podsolik,Perkebunan/Kebun,0.999948,1
67,-7.133970402,107.3716395,3080.1,0.0,0.2857142857142857,1.0,Andosol,Perkebunan/Kebun,0.99300283,0
68,-7.149436899,107.3894855,3059.44,0.125,0.2857142857142857,1.0,Andosol,Hutan,0.9967923,0
69,-7.138134459,107.3835368,3059.71,0.125,0.2857142857142857,1.0,Andosol,Hutan,0.9967923,0
70,-7.121478232,107.3537936,3028.63,0.0,0.2857142857142857,1.0,Andosol,Perkebunan/Kebun,0.99300283,0
71,-7.132185807,107.3317835,3024.34,0.125,0.8571428571428572,1.0,Podsolik,Hutan,0.9999658,1
72,-7.145867707,107.32524,3025.8,0.0,0.8571428571428572,1.0,Podsolik,Perkebunan/Kebun,0.999948,1
73,-7.126832019,107.3234554,2985.44,0.125,0.2857142857142857,0.6666666666666666,Andosol,Hutan,0.9965759,0
74,-7.117314175,107.3204811,2937.79,0.125,0.2857142857142857,0.6666666666666666,Andosol,Hutan,0.9965759,0
75,-7.180964757,107.3050146,2929.82,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
76,-7.169067452,107.3091787,2969.5,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
77,-7.183344218,107.2889532,2877.67,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
78,-7.193456928,107.2853841,2848.34,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
79,-7.19940558,107.2746765,2802.72,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
80,-7.202974772,107.294307,2850.9,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
81,-7.19821585,107.3079889,2906.4,0.0,0.8571428571428572,0.6666666666666666,Podsolik,Perkebunan/Kebun,0.99989223,1
