latitude,longitude,curah_hujan,Penggunaan_Lahan,Jenis_Tanah,Kategori_Curah_Hujan,Ket_Jenis_Tanah,Ket_Penggunaan_Lahan
-7.057903,107.6224585,2181.33,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.060282461,107.5992588,2184.71,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.067420844,107.5820077,2183.24,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
-7.056118404,107.5034854,2282.2,0.0,0.5714285714285714,0.33333333333333337,Latosol,Perkebunan/Kebun
-7.031134064,107.5070546,2284.42,1.0,1.0,0.33333333333333337,Clay,Permukiman
-7.073369496,107.5147879,2262.83,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.062067057,107.6956269,2120.22,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
-7.051359482,107.6914629,2132.08,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.058497865,107.7057396,2112.16,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-6.86539,107.712172,2130.16,0.0,0.2857142857142857,0.33333333333333337,Andosol,Perkebunan/Kebun
-6.858688,107.700312,2134.58,0.0,0.2857142857142857,0.33333333333333337,Andosol,Perkebunan/Kebun
-6.85165132,107.6925336,2136.43,0.5,0.2857142857142857,0.33333333333333337,Andosol,Tegalan/Ladang
-6.848061,107.711973,2131.1,0.0,0.2857142857142857,0.33333333333333337,Andosol,Perkebunan/Kebun
-6.859503541,107.7228718,2125.54,0.125,0.2857142857142857,0.33333333333333337,Andosol,Hutan
-6.88728,107.726917,2119.42,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-6.867663369,107.7261465,2122.18,0.0,0.2857142857142857,0.33333333333333337,Andosol,Perkebunan/Kebun
-6.873486,107.706574,2132.39,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-6.853792835,107.6986013,2135.17,0.0,0.2857142857142857,0.33333333333333337,Andosol,Perkebunan/Kebun
-6.865571167,107.6921767,2136.28,0.5,0.2857142857142857,0.33333333333333337,Andosol,Tegalan/Ladang
-6.870555,107.683625,2137.23,0.0,0.5714285714285714,0.33333333333333337,Latosol,Perkebunan/Kebun
-6.86004991,107.6765232,2137.35,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-6.849898001,107.678665,2137.84,0.5,0.2857142857142857,0.33333333333333337,Andosol,Tegalan/Ladang
-6.851426,107.665537,2137.48,0.5,0.2857142857142857,0.33333333333333337,Andosol,Tegalan/Ladang
-6.864500409,107.6629093,2136.12,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-6.870528,107.645635,2132.47,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-6.976573023,107.7235856,2110.17,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.052097115,107.6668711,2159.75,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.030836631,107.6711938,2177.6,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-7.018344461,107.6717887,2187.5,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
